,Nationality,Visa Class,Issuances,excel_name,Month_Year,Formatted_Date
119372,China-mainland,B1/B2,"151,952",MARCH 2017 - NIV Issuances by Nationality and Visa Class,MARCH 2017,2017-03-01
89812,China-mainland,B1/B2,"97,183",APRIL 2017 - NIV Issuances by Nationality and Visa Class,APRIL 2017,2017-04-01
186898,China-mainland,B1/B2,"150,685",MAY 2017 - NIV Issuances by Nationality and Visa Class,MAY 2017,2017-05-01
66088,China-mainland,B1/B2,"143,159",JUNE 2017 - NIV Issuances by Nationality and Visa Class,JUNE 2017,2017-06-01
69853,China-mainland,B1/B2,"127,263",JULY 2017 - NIV Issuances by Nationality and Visa Class,JULY 2017,2017-07-01
167063,China-mainland,B1/B2,"131,193",AUGUST 2017 - NIV Issuances by Nationality and Visa Class,AUGUST 2017,2017-08-01
79531,China-mainland,B1/B2,103883,SEPTEMBER 2017 - NIV Issuances by Nationality and Visa Class,SEPTEMBER 2017,2017-09-01
208775,China-mainland,B1/B2,"79,422",OCTOBER 2017 - NIV Issuances by Nationality and Visa Class,OCTOBER 2017,2017-10-01
205405,China-mainland,B1/B2,"92,815",NOVEMBER 2017 - NIV Issuances by Nationality and Visa Class,NOVEMBER 2017,2017-11-01
211694,China-mainland,B1/B2,"87,737",DECEMBER 2017 - NIV Issuances by Nationality and Visa Class,DECEMBER 2017,2017-12-01
146400,China-mainland,B1/B2,"110,752",JANUARY 2018 - NIV Issuances by Nationality and Visa Class,JANUARY 2018,2018-01-01
76151,China-mainland,B1/B2,"62,184",FEBRUARY 2018 - NIV Issuances by Nationality and Visa Class,FEBRUARY 2018,2018-02-01
176397,China-mainland,B1/B2,"117,539",MARCH 2018 - NIV Issuances by Nationality and Visa Class,MARCH 2018,2018-03-01
35536,China-mainland,B1/B2,"128,095",APRIL 2018 - NIV Issuances by Nationality and Visa Class,APRIL 2018,2018-04-01
101441,China-mainland,B1/B2,"130,953",MAY 2018 - NIV Issuances by Nationality and Visa Class,MAY 2018,2018-05-01
19259,China-mainland,B1/B2,"117,757",JUNE 2018 - NIV Issuances by Nationality and Visa Class,JUNE 2018,2018-06-01
11597,China-mainland,B1/B2,"121,556",JULY 2018 - NIV Issuances by Nationality and Visa Class,JULY 2018,2018-07-01
112160,China-mainland,B1/B2,"115,769",AUGUST 2018 - NIV Issuances by Nationality and Visa Class,AUGUST 2018,2018-08-01
52318,China-mainland,B1/B2,"77,297",SEPTEMBER 2018 - NIV Issuances by Nationality and Visa Class,SEPTEMBER 2018,2018-09-01
132233,China-mainland,B1/B2,"77,496",October 2018 - NIV Issuances by Nationality and Visa Class,October 2018,2018-10-01
135785,China-mainland,B1/B2,"81,026",November 2018 - NIV Issuances by Nationality and Visa Class,November 2018,2018-11-01
153534,China-mainland,B1/B2,"78,284",DECEMBER 2018 - NIV Issuances by Nationality and Visa Class,DECEMBER 2018,2018-12-01
142838,China-mainland,B1/B2,"92,942",JANUARY 2019 - NIV Issuances by Nationality and Visa Class,JANUARY 2019,2019-01-01
62564,China-mainland,B1/B2,"53,002",FEBRUARY 2019 - NIV Issuances by Nationality and Visa Class,FEBRUARY 2019,2019-02-01
183306,China-mainland,B1/B2,"98,682",MARCH 2019 - NIV Issuances by Nationality and Visa Class,MARCH 2019,2019-03-01
42917,China-mainland,B1/B2,"102,535",APRIL 2019 - NIV Issuances by Nationality and Visa Class,APRIL 2019,2019-04-01
211695,China-mainland,B1/B2,"110,219",MAY 2019 - NIV Issuances by Nationality and Visa Class,MAY 2019,2019-05-01
674,China-mainland,B1/B2,"98,823",JUNE 2019 - NIV Issuances by Nationality and Visa Class,JUNE 2019,2019-06-01
15388,China-mainland,B1/B2,"87,402",JULY 2019 - NIV Issuances by Nationality and Visa Class,JULY 2019,2019-07-01
105130,China-mainland,B1/B2,"73,912",AUGUST 2019 - NIV Issuances by Nationality and Visa Class,AUGUST 2019,2019-08-01
24984,China-mainland,B1/B2,"58,887",SEPTEMBER 2019 - NIV Issuances by Nationality and Visa Class,SEPTEMBER 2019,2019-09-01
159572,China - mainland,B1/B2,"61,516",OCTOBER 2019 NIV Issuances by Nationality and Visa Class,OCTOBER 2019,2019-10-01
163406,China - mainland,B1/B2,"65,792",NOVEMBER 2019 - NIV Issuances by Nationality and Visa Class,NOVEMBER 2019,2019-11-01
127915,China - mainland,B1/B2,"69,745",DECEMBER 2019 - NIV Issuances by Nationality and Visa Class,DECEMBER 2019,2019-12-01
55952,China - Mainland,B1/B2,"54,106",JANUARY 2020 - NIV Issuances by Nationality and Visa Class,JANUARY 2020,2020-01-01
179876,China - Mainland,B1/B2,"4,875",FEBRUARY 2020 - NIV Issuances by Nationality and Visa Class,FEBRUARY 2020,2020-02-01
59542,China - mainland,B1/B2,"2,734",MARCH 2020 - NIV Issuances by Nationality and Visa Class,MARCH 2020,2020-03-01
131047,China - mainland,B1/B2,81,APRIL 2020 - NIV Issuances by Nationality and Visa Class,APRIL 2020,2020-04-01
10221,China - mainland,B1/B2,46,MAY 2020 - NIV Issuances by Nationality and Visa Class,MAY 2020,2020-05-01
122667,China - mainland,B1/B2,30,June 2020 - NIV Issuances by Nationality and Visa Class,June 2020,2020-06-01
95699,China - mainland,B1/B2,30,JULY 2020 - NIV Issuances by Nationality and Visa Class,JULY 2020,2020-07-01
22691,China - mainland,B1/B2,33,AUGUST 2020 - NIV Issuances by Nationality and Visa Class,AUGUST 2020,2020-08-01
190272,China - mainland,B1/B2,30,SEPTEMBER 2020 - NIV Issuances by Nationality and Visa Class,SEPTEMBER 2020,2020-09-01
33097,China - mainland,B1/B2,59,OCTOBER 2020 - NIV Issuances by Nationality and Visa Class,OCTOBER 2020,2020-10-01
30883,China - mainland,B1/B2,74,NOVEMBER 2020 - NIV Issuances by Nationality and Visa Class,NOVEMBER 2020,2020-11-01
46237,China - mainland,B1/B2,82,DECEMBER 2020 - NIV Issuances by Nationality and Visa Class,DECEMBER 2020,2020-12-01
